scheme,mae,rmse,r2,within_1_day,bias
random_row,0.5544831987832598,0.7636726010326478,0.7999714987069055,0.8143769884193353,-0.01522414033534066
grain_disjoint,0.5631973156716421,0.777768291272215,0.792503029916278,0.8137733322727755,-0.01695333224121564
dish_disjoint,0.5752455968920125,0.7964105294714099,0.7824943238425919,0.8039691377664651,-0.017254449389297537
