subset,predictor,n,mae,rmse,r2,within_1_day,bias
all_six_stages,SVR_RBF,13452,0.5769617287216732,0.7999405587203168,0.7806040351477351,0.8025572405590247,-0.015312712260219654
all_six_stages,constant_subset_mean,13452,1.5,1.707825127659933,0.0,0.3333333333333333,0.0
post_moisture_1_to_5,SVR_RBF,11210,0.6800032500219051,0.8745110835859845,0.6176151823426336,0.7634255129348796,-0.0196190669633672
post_moisture_1_to_5,constant_subset_mean,11210,1.2,1.4142135623730951,0.0,0.6,0.0
