family,mae_mean,mae_sd,rmse_mean,rmse_sd,r2_mean,r2_sd,within_1_day_mean,bias_mean
SVR_RBF,0.57695988904483,0.010221630690736873,0.7998593490524428,0.012720565168879266,0.7806041959465702,0.0069741754212420985,0.802558595821402,-0.01534411815882136
PLSR,0.7217949532853928,0.013724117162913418,0.9006027362443041,0.02168447891577721,0.7217846416578034,0.013502909538122717,0.724579753950578,-0.0009854081630692971
ExtraTrees,0.8558261491647616,0.017601419777013738,1.1294922190749723,0.026140352536932206,0.5624116591855396,0.02024205578876307,0.6169314747056951,0.0029376430586979
