comparison,mae_difference_days,ci_low,ci_high
ExtraTrees minus SVR_RBF,0.278865790386046,0.26446511388985955,0.2924047211114711
PLSR minus SVR_RBF,0.1448342704618356,0.13044732397943176,0.15816904764414583
