family,metric,estimate,ci_low,ci_high,bootstrap_unit,bootstrap_repetitions
PLSR,mae,0.7217959991835088,0.7050769526073011,0.7382064511289846,petri_dish,2000
PLSR,rmse,0.9008114382752519,0.8791603701114546,0.9218285352047388,petri_dish,2000
PLSR,r2,0.7217847152019905,0.7086510234173657,0.7349978432755487,petri_dish,2000
PLSR,within_1_day,0.7245762711864406,0.7127847924971279,0.7368357666243901,petri_dish,2000
PLSR,bias,-0.0009564919719213704,-0.03609827960248524,0.035884205578010656,petri_dish,2000
SVR_RBF,mae,0.5769617287216732,0.5601915174281391,0.5943620505937008,petri_dish,2000
SVR_RBF,rmse,0.7999405587203168,0.7743404491060738,0.8260107649729509,petri_dish,2000
SVR_RBF,r2,0.7806040351477351,0.766070702678971,0.7944217836118792,petri_dish,2000
SVR_RBF,within_1_day,0.8025572405590247,0.7908287935653984,0.8140968508615567,petri_dish,2000
SVR_RBF,bias,-0.015312712260219654,-0.049785928843123085,0.020853424976150742,petri_dish,2000
ExtraTrees,mae,0.8558275191077191,0.8383451026142833,0.8729413855397371,petri_dish,2000
ExtraTrees,rmse,1.12973337262761,1.1081042270428507,1.1506615690895217,petri_dish,2000
ExtraTrees,r2,0.5624122880359244,0.5460495838562616,0.579007436091616,petri_dish,2000
ExtraTrees,within_1_day,0.6169342848647041,0.6059320299114567,0.6272677599811963,petri_dish,2000
ExtraTrees,bias,0.0029525908894961466,-0.021940538908401076,0.028637568314164613,petri_dish,2000
