outer_fold,training_subset,channel_index_0based,wavelength_nm_approx,vip,coefficient_per_training_sd,n_training_observations,n_components
3,post_moisture_1_to_5,0,950.0,1.7030503330936289,21.730546616104355,8970,20
3,post_moisture_1_to_5,1,953.448275862069,1.5066132404704902,12.443334105251987,8970,20
3,post_moisture_1_to_5,2,956.8965517241379,1.3552433942397857,-10.858497555713017,8970,20
3,post_moisture_1_to_5,3,960.3448275862069,1.2188079607956577,-8.36365199112241,8970,20
3,post_moisture_1_to_5,4,963.7931034482758,1.1523608829781526,-14.103304422740708,8970,20
3,post_moisture_1_to_5,5,967.2413793103449,1.0904974756692967,-9.26149798540437,8970,20
3,post_moisture_1_to_5,6,970.6896551724138,1.0184873513585422,-0.5832528138135682,8970,20
3,post_moisture_1_to_5,7,974.1379310344828,0.992510839310958,1.8432042525471157,8970,20
3,post_moisture_1_to_5,8,977.5862068965517,0.9946107415576104,0.11831922229006042,8970,20
3,post_moisture_1_to_5,9,981.0344827586207,1.0104760352815616,0.2701771089150409,8970,20
3,post_moisture_1_to_5,10,984.4827586206897,0.9363465852012517,-17.988022192907653,8970,20
3,post_moisture_1_to_5,11,987.9310344827586,0.8977838517768595,1.9149163082529193,8970,20
3,post_moisture_1_to_5,12,991.3793103448276,0.9552373342156378,-25.804750024103406,8970,20
3,post_moisture_1_to_5,13,994.8275862068965,0.889878748225386,7.376999976012396,8970,20
3,post_moisture_1_to_5,14,998.2758620689655,0.9249356805912995,-1.0693166165238732,8970,20
3,post_moisture_1_to_5,15,1001.7241379310344,0.9240702756389503,5.641908450465303,8970,20
3,post_moisture_1_to_5,16,1005.1724137931035,0.9552970642922906,12.549771148533777,8970,20
3,post_moisture_1_to_5,17,1008.6206896551724,0.9493902630994944,22.559494942468447,8970,20
3,post_moisture_1_to_5,18,1012.0689655172414,0.9010466825088326,5.636623121582584,8970,20
3,post_moisture_1_to_5,19,1015.5172413793103,0.9179641382704319,4.696943110444621,8970,20
3,post_moisture_1_to_5,20,1018.9655172413793,0.9623711165501854,6.504558615839343,8970,20
3,post_moisture_1_to_5,21,1022.4137931034483,0.9380882451585356,-1.2127738415331608,8970,20
3,post_moisture_1_to_5,22,1025.8620689655172,0.9322409718555716,7.416406256395467,8970,20
3,post_moisture_1_to_5,23,1029.3103448275863,0.9615449945887513,-11.02657951384024,8970,20
3,post_moisture_1_to_5,24,1032.7586206896551,0.9208465125440894,-2.510844033280792,8970,20
