outer_fold,training_subset,channel_index_0based,wavelength_nm_approx,vip,coefficient_per_training_sd,n_training_observations,n_components
5,post_moisture_1_to_5,0,950.0,1.6224437552170683,18.200228529027324,8970,20
5,post_moisture_1_to_5,1,953.448275862069,1.4580548824902742,13.901542220185995,8970,20
5,post_moisture_1_to_5,2,956.8965517241379,1.286066287720218,-8.969224717671413,8970,20
5,post_moisture_1_to_5,3,960.3448275862069,1.1615358297137017,-10.17579874427464,8970,20
5,post_moisture_1_to_5,4,963.7931034482758,1.0869142435855565,-10.080145968256875,8970,20
5,post_moisture_1_to_5,5,967.2413793103449,1.032496257784895,-14.967730004900801,8970,20
5,post_moisture_1_to_5,6,970.6896551724138,0.9545762781330178,2.1787918258286902,8970,20
5,post_moisture_1_to_5,7,974.1379310344828,0.922015489232062,1.3595635103954153,8970,20
5,post_moisture_1_to_5,8,977.5862068965517,0.9379057694813123,-2.5079602997301134,8970,20
5,post_moisture_1_to_5,9,981.0344827586207,0.9618784275421628,1.8625548047728664,8970,20
5,post_moisture_1_to_5,10,984.4827586206897,0.8834802218981922,-15.155094929503313,8970,20
5,post_moisture_1_to_5,11,987.9310344827586,0.8614043138771121,5.153784898407621,8970,20
5,post_moisture_1_to_5,12,991.3793103448276,0.9246544562669707,-25.153221821921292,8970,20
5,post_moisture_1_to_5,13,994.8275862068965,0.8553567300204066,5.240752366225757,8970,20
5,post_moisture_1_to_5,14,998.2758620689655,0.8899305429484781,6.286655378478229,8970,20
5,post_moisture_1_to_5,15,1001.7241379310344,0.9171368636253724,-0.6769691820745387,8970,20
5,post_moisture_1_to_5,16,1005.1724137931035,0.931924255379587,15.11742533205101,8970,20
5,post_moisture_1_to_5,17,1008.6206896551724,0.9176353052629603,16.504740988797614,8970,20
5,post_moisture_1_to_5,18,1012.0689655172414,0.8831329615135941,3.910741549523568,8970,20
5,post_moisture_1_to_5,19,1015.5172413793103,0.9068998508006814,4.528681191167224,8970,20
5,post_moisture_1_to_5,20,1018.9655172413793,0.9440984866898807,9.245007781875952,8970,20
5,post_moisture_1_to_5,21,1022.4137931034483,0.9141233642123869,-0.6968244761385441,8970,20
5,post_moisture_1_to_5,22,1025.8620689655172,0.9067229846961603,9.409555860703339,8970,20
5,post_moisture_1_to_5,23,1029.3103448275863,0.945485146094069,-12.27471226673054,8970,20
5,post_moisture_1_to_5,24,1032.7586206896551,0.9209204369495767,-6.862130563096242,8970,20
5,post_moisture_1_to_5,25,1036.2068965517242,0.9385347193162397,7.166366701470331,8970,20
5,post_moisture_1_to_5,26,1039.655172413793,0.958728041794563,13.0712132179173,8970,20
5,post_moisture_1_to_5,27,1043.103448275862,0.9622093636109145,-1.6072727466291674,8970,20
5,post_moisture_1_to_5,28,1046.551724137931,1.0504974329594707,-7.049228429779634,8970,20
5,post_moisture_1_to_5,29,1050.0,0.9913707016562632,-7.142968560810358,8970,20
5,post_moisture_1_to_5,30,1053.4482758620688,0.9911421763053835,-7.129467699859738,8970,20
5,post_moisture_1_to_5,31,1056.896551724138,0.9560953046699914,-1.2327682131355355,8970,20
5,post_moisture_1_to_5,32,1060.344827586207,0.9374631502289029,-9.950852095367349,8970,20
5,post_moisture_1_to_5,33,1063.7931034482758,0.8862182454910881,-5.944964303392441,8970,20
5,post_moisture_1_to_5,34,1067.2413793103449,0.8754246230448736,6.269357646095953,8970,20
5,post_moisture_1_to_5,35,1070.6896551724137,0.8628824175906118,-2.8045595386329376,8970,20
5,post_moisture_1_to_5,36,1074.1379310344828,0.855063237314945,1.1786413112457992,8970,20
5,post_moisture_1_to_5,37,1077.5862068965516,0.8329356988400323,-5.426976858737321,8970,20
5,post_moisture_1_to_5,38,1081.0344827586207,0.8156043716139785,-1.723539548496999,8970,20
5,post_moisture_1_to_5,39,1084.4827586206898,0.812919784678369,0.04365268235766295,8970,20
5,post_moisture_1_to_5,40,1087.9310344827586,0.8041849621693903,2.5521992701669842,8970,20
5,post_moisture_1_to_5,41,1091.3793103448277,0.8367610717454648,13.103248886339134,8970,20
5,post_moisture_1_to_5,42,1094.8275862068965,0.7973575927751694,6.021763048455997,8970,20
5,post_moisture_1_to_5,43,1098.2758620689656,0.8351954820205721,-3.2808416487309353,8970,20
5,post_moisture_1_to_5,44,1101.7241379310344,0.875799989276175,2.492306064113428,8970,20
5,post_moisture_1_to_5,45,1105.1724137931035,0.792565861688879,-3.1648251351661454,8970,20
5,post_moisture_1_to_5,46,1108.6206896551723,0.8808656146000868,-6.621760579513909,8970,20
5,post_moisture_1_to_5,47,1112.0689655172414,0.8712246063665007,-18.079249820607586,8970,20
5,post_moisture_1_to_5,48,1115.5172413793102,0.9397612157710967,6.479851535504241,8970,20
5,post_moisture_1_to_5,49,1118.9655172413793,1.0018743804832824,6.463997976095713,8970,20
5,post_moisture_1_to_5,50,1122.4137931034484,1.1091342506086315,16.622195726515802,8970,20
5,post_moisture_1_to_5,51,1125.8620689655172,1.1335502345036523,11.328811907843567,8970,20
5,post_moisture_1_to_5,52,1129.3103448275863,1.0994297068823549,5.447807920202141,8970,20
5,post_moisture_1_to_5,53,1132.7586206896551,1.07782478138697,2.5599737412329193,8970,20
5,post_moisture_1_to_5,54,1136.2068965517242,1.0402172023098208,-3.940163703755914,8970,20
5,post_moisture_1_to_5,55,1139.655172413793,0.9674300844558177,-17.925031363906513,8970,20
5,post_moisture_1_to_5,56,1143.103448275862,0.9544188365443367,-11.15577485482886,8970,20
5,post_moisture_1_to_5,57,1146.551724137931,1.0047427544617338,-3.5361619123275783,8970,20
5,post_moisture_1_to_5,58,1150.0,1.0259503885267882,15.425161446571494,8970,20
5,post_moisture_1_to_5,59,1153.4482758620688,0.9698226002667801,18.27361649519096,8970,20
5,post_moisture_1_to_5,60,1156.896551724138,0.9183110511481515,15.700845087099495,8970,20
