stage,channel_index_0based,wavelength_nm_approx,mean_pseudo_absorbance,sd_pseudo_absorbance,n
0,0,950.0,0.2085196077823639,0.03829659894108772,2242
0,1,953.448275862069,0.2086859494447708,0.03821186721324921,2242
0,2,956.8965517241379,0.20875389873981476,0.03808025270700455,2242
0,3,960.3448275862069,0.2088584303855896,0.03802551329135895,2242
0,4,963.7931034482758,0.20862235128879547,0.03793163225054741,2242
0,5,967.2413793103449,0.2082396298646927,0.03783247247338295,2242
0,6,970.6896551724138,0.20762160420417786,0.0377601757645607,2242
0,7,974.1379310344828,0.20690539479255676,0.0377097949385643,2242
0,8,977.5862068965517,0.206023171544075,0.03764602914452553,2242
0,9,981.0344827586207,0.2050577849149704,0.0376054085791111,2242
0,10,984.4827586206897,0.2039601355791092,0.03751915320754051,2242
0,11,987.9310344827586,0.20286677777767181,0.037453390657901764,2242
0,12,991.3793103448276,0.2016882598400116,0.03740557283163071,2242
0,13,994.8275862068965,0.20045112073421478,0.0373336561024189,2242
0,14,998.2758620689655,0.19917501509189606,0.03724190220236778,2242
0,15,1001.7241379310344,0.19791077077388763,0.03716161847114563,2242
0,16,1005.1724137931035,0.19664761424064636,0.03711099550127983,2242
0,17,1008.6206896551724,0.19543302059173584,0.037064630538225174,2242
0,18,1012.0689655172414,0.19413042068481445,0.03699669986963272,2242
0,19,1015.5172413793103,0.19292467832565308,0.03694457560777664,2242
0,20,1018.9655172413793,0.19179995357990265,0.03691134229302406,2242
0,21,1022.4137931034483,0.1906251758337021,0.036865025758743286,2242
0,22,1025.8620689655172,0.1894892454147339,0.03679397329688072,2242
0,23,1029.3103448275863,0.18835119903087616,0.03672705963253975,2242
0,24,1032.7586206896551,0.18725308775901794,0.0366658978164196,2242
0,25,1036.2068965517242,0.18616266548633575,0.03660666197538376,2242
0,26,1039.655172413793,0.18516217172145844,0.0365784578025341,2242
0,27,1043.103448275862,0.1840926557779312,0.03651333600282669,2242
0,28,1046.551724137931,0.18306300044059753,0.03647034242749214,2242
0,29,1050.0,0.18202908337116241,0.036397796124219894,2242
0,30,1053.4482758620688,0.18106825649738312,0.036353953182697296,2242
