C,subset,n,mae,rmse,r2,within_1_day,bias,all_stage_fold_mae_sd
100,all_six_stages,13452,0.5769617287216732,0.7999405587203168,0.7806040351477351,0.8025572405590247,-0.015312712260219654,0.010221630690736897
100,post_moisture_1_to_5,11210,0.6800032500219051,0.8745110835859845,0.6176151823426336,0.7634255129348796,-0.0196190669633672,0.010221630690736897
300,all_six_stages,13452,0.5897591731938304,0.8227094427164758,0.76793685926805,0.8009961344038061,-0.005396348349675136,0.012587581095273524
300,post_moisture_1_to_5,11210,0.6916967728236634,0.8980077003126891,0.5967910850895579,0.7617305976806423,-0.008125861060971204,0.012587581095273524
1000,all_six_stages,13452,0.6194029427629713,0.8872396361400835,0.7301048553355471,0.7931162652393696,-0.000808952253942132,0.020611285247032162
1000,post_moisture_1_to_5,11210,0.7213045646358284,0.966804877513588,0.532644164407968,0.7524531668153435,-0.002758904745882488,0.020611285247032162
